sentiment,Text,,,,,,,,,,,,,Column Labels,,,
-1, Wow Yall needa step it up Apple RT heynyla Music and snapchat at the same damn time Thank you Note4 ,,,,,,,,,,,,,-1,0,1,Grand Total
0, MasterCard Teams Up With Gwen Stefani to Promote Apple Pay and Priceless Surprises httptco8SqKEuVjp5 AAPL ,,,,,,,,,,,,,,,,
0, Apple USE THIS 4 UR NEXT AD funconvo httptcorjPyqmFlWa ,,,,,,,,,,,,,,,,
0, RT RepublicanPriv OneRepublic Apple Take us down and we keep trying Forty thousand feet keep flying ,,,,,,,,,,,,,,,,
0, JMP raises Apple price target from 130 to 150 reasons why here httptcoXOTExD9Y4o  JMP AAPL Stocks WallStreet ,,,,,,,,,,,,,,,,
0, Apple patents new reflex drop technology for Mobile deviceslearn how this could come in handy MobileDose httptcoBSGtvfPc5B ,,,,,,,,,,,,,,,,
-1, dear Apple get your shit together ,,,,,,,,,,,,,,,,
0, Apple Pay  Compuserve  BTC  the internet ,,,,,,,,,,,,,,,,
1, Loving my apple iPhone6Plus even though Ive hyperextended my thumb reaching for the top Apps thestruggleisreal ,,,,,,,,,,,,,,,,
0, Could Apple Inc Sell 24 Million AppleWatches in 2015?  The Motley Fool aapl httptcoJA0hy8d4U3 ,,,,,,,,,,,,,,,,
-1,  apple why is my computer so slow ,,,,,,,,,,,,,,,,
0, Apple Apples IPhone6Plus captures Christmas at the White House Friday 5 December httptco4EXisKMcMV ,,,,,,,,,,,,,,,,
0, Apple Hiring Maps Engineer to Work on Improved Community Crowdsourcing SiriPassbook Integration httptco0zAAAPH873 AAPL ,,,,,,,,,,,,,,,,
0, First Apple employee The remarkable odyssey of Bill Fernandez via techrepublic  httptcoKj4GDYMrqw ,,,,,,,,,,,,,,,,
0, AAPL5 companies growing faster than Applersscnncom~rrssmoneylatest~3n1Ps4CmqWL4indexhtml ,,,,,,,,,,,,,,,,
0, Apple 115 fits to 84 increase in earnings Use 2014Q3 EPS142 in  free IOS App Donkey Stocks AAPL httpstco8CBUgrEHZS ,,,,,,,,,,,,,,,,
-1, Jman98jlb San0529 my phone does it automatically for some reason Kinda dumb Thanks Apple ,,,,,,,,,,,,,,,,
-1, dang this phone fuckin sucks fuck you apple piece of shit iPhone man yall disappoint me ,,,,,,,,,,,,,,,,
-1, My phone died at 8 why would you let this happen apple? ,,,,,,,,,,,,,,,,
1, apple iBooks is awesome Thank You ,,,,,,,,,,,,,,,,
0, In case of accident stay safe with our free Apple app Winnipeg httptcowYJVGqW6qT ,,,,,,,,,,,,,,,,
-1, dougluberts drakecraytel Apple it is a universal problem with 128gb models Some people think there will be a total recall ,,,,,,,,,,,,,,,,
0, AAPLExchange iPhone for Passport and Receive Up to 550httptcodIskJKI4Ch ,,,,,,,,,,,,,,,,
-1, apple and VerizonSupport the support I received for my iPad tonight was ridiculous going in circles with no solution smh ,,,,,,,,,,,,,,,,
-1, Updated to Yosemite on two machines Both are now painfully slow Thanks Apple ,,,,,,,,,,,,,,,,
0, sacca If simplicity was hard to charge for why is AAPL the most valuable company? ipad ,,,,,,,,,,,,,,,,
-1, Ha poor apple trying to make its iPad and MacBook look useful in its commercials Not even close to the power of surface Pro 3 ,,,,,,,,,,,,,,,,
0, Jeff Daniels in Talks to Play Former Apple CEO John Sculley in Aaron Sorkins Steve Jobs Movie Mac Blog httptcoqg1CP2ozaW AAPL ,,,,,,,,,,,,,,,,
1, Were so excited to be named to Apples App Store Best of 2014 list this year httptcod7qlmti4Uf Apple ,,,,,,,,,,,,,,,,
-1, Is there ever going to be a moment yall are going to fix the battery? Mine goes from 100 to 22 in an hour apple ,,,,,,,,,,,,,,,,
-1, Apple in the Dock 1 Billion Antitrust Claim Casts SteveJobs as Conspirator aapl httptcoqZaTiTlR26 ,,,,,,,,,,,,,,,,
0, Tim Cook Shows Off Apple Watch to Chinese Internet Official Discusses Security Issues httptco4nrcjqs75m AAPL ,,,,,,,,,,,,,,,,
0, Econsultancy on Apple the customer journey from search to checkout httpstcowKiiSW3oS6 CX UX ecommerce casestudy ,,,,,,,,,,,,,,,,
0, HOW TO Make a realistic songlength drum track using apple Logic Pro X Drummer httptco5o26s4ZrqC ProAudio httptcoPNlkoLdie6 ,,,,,,,,,,,,,,,,
